torch implementation took 7.080 seconds to generate 1.486 seconds of audio
         3819036 function calls (3747018 primitive calls) in 9.506 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.011    0.011 server_process_global_profiler.py:3(<module>)
        1    0.000    0.000    0.011    0.011 font_manager.py:1(<module>)
        1    0.000    0.000    0.011    0.011 fake_tensor.py:3(<module>)
      220    0.000    0.000    0.011    0.000 _meta_registrations.py:44(wrapper)
       56    0.000    0.000    0.010    0.000 __init__.py:457(inner)
     1263    0.000    0.000    0.010    0.000 symbol.py:323(__xnew_cached_)
     1285    0.002    0.000    0.010    0.000 symbol.py:298(__xnew__)
    15787    0.010    0.000    0.010    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.010    0.010 dynamic_shapes.py:1(<module>)
      965    0.001    0.000    0.010    0.000 __init__.py:628(__setitem__)
        1    0.000    0.000    0.010    0.010 lines.py:1(<module>)
        1    0.000    0.000    0.010    0.010 polar.py:1(<module>)
    12218    0.005    0.000    0.010    0.000 enum.py:313(__call__)
     3890    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     9939    0.005    0.000    0.010    0.000 typing.py:762(__setattr__)
      125    0.000    0.000    0.010    0.000 _distn_infrastructure.py:690(_attach_argparser_methods)
        1    0.000    0.000    0.010    0.010 bsplines.py:1(<module>)
      102    0.000    0.000    0.010    0.000 dataclasses.py:487(_init_fn)
        1    0.000    0.000    0.010    0.010 constructor.py:1(<module>)
     6559    0.009    0.000    0.010    0.000 <frozen importlib._bootstrap>:78(acquire)
      106    0.001    0.000    0.010    0.000 _distn_infrastructure.py:1958(_attach_methods)
    15314    0.006    0.000    0.009    0.000 conflict.py:7(supercedes)
        1    0.000    0.000    0.009    0.009 node.py:4(<module>)
       46    0.000    0.000    0.009    0.000 expr.py:252(__truediv__)
       13    0.000    0.000    0.009    0.001 _axis_nan_policy.py:371(axis_nan_policy_decorator)
       79    0.004    0.000    0.009    0.000 enum.py:157(__new__)
     5851    0.004    0.000    0.009    0.000 conflict.py:12(consistent)
       92    0.001    0.000    0.009    0.000 __init__.py:1349(_preprocess_data)
     1183    0.003    0.000    0.009    0.000 typing_extensions.py:2989(_collect_type_vars)
  466/424    0.001    0.000    0.009    0.000 typing.py:187(_subs_tvars)
      100    0.001    0.000    0.009    0.000 iterables.py:1173(least_rotation)
        1    0.000    0.000    0.009    0.009 text.py:1(<module>)
        1    0.000    0.000    0.009    0.009 power.py:1(<module>)
    20347    0.008    0.000    0.009    0.000 {built-in method __new__ of type object at 0x712560}
        2    0.000    0.000    0.009    0.004 __init__.py:10(<module>)
     4027    0.002    0.000    0.009    0.000 sympify.py:503(_sympify)
    44/43    0.000    0.000    0.009    0.000 numbers.py:2295(_eval_power)
        1    0.000    0.000    0.009    0.009 slice.py:1(<module>)
        1    0.000    0.000    0.009    0.009 image.py:1(<module>)
    56/50    0.000    0.000    0.009    0.000 mul.py:1310(_eval_is_zero)
        2    0.000    0.000    0.009    0.004 function.py:1(<module>)
       37    0.000    0.000    0.009    0.000 __init__.py:1012(inner)
        1    0.000    0.000    0.008    0.008 _laplacian.py:1(<module>)
